book_id,title,author,author_2,additional_authors,ISBN,ISBN13,my_rating,average_rating,Publisher,Binding,number_of_pages,year_published,original_publication_year,date_read,date_added,Bookshelves,bookshelves_status,exclusive_self,my_review,Spoiler,private_notes,read_count,owned_copies,genre,
20198296,The Story of Sushi: An Unlikely Saga of Raw Fish and Rice,Trevor Corson,"Corson, Trevor",,,,0,3.78,Harper Perennial,Paperback,416,2008.0,2006.0,,2018/12/01,to-read,to-read (#3),to-read,,,,0,0,History,
840,The Design of Everyday Things,Donald A. Norman,"Norman, Donald A.",,465067107,9780465067107,0,4.15,Basic Books,Paperback,257,2002.0,1988.0,2018/5/6,2017/06/03,,,read,,,,1,0,Technology & Engineering,
13590004,Transformative Scenario Planning: Working Together to Change the Future,Adam Kahane,"Kahane, Adam",,1609944909,9781609944902,0,4.05,Berrett-Koehler Publishers,Paperback,152,2012.0,2012.0,2020/6/7,2018/06/05,,,read,,,,0,0,Business & Economics,
28504537,A Field Guide to Lies: Critical Thinking in the Information Age,Daniel J. Levitin,"Levitin, Daniel J.",,525955224,9780525955221,0,3.76,Dutton,Hardcover,292,2016.0,2016.0,,2016/11/11,to-read,to-read (#2),to-read,,,,0,0,Business & Economics,
18373,Flowers for Algernon,Daniel Keyes,"Keyes, Daniel",,,9780156030083,5,4.22,Harvest Books,Mass Market Paperback,311,2004.0,1966.0,2016/3/3,2016/08/03,,,read,,,,1,0,Fiction,
929782,Martin Eden,Jack London,"London, Jack",Andrew Sinclair,,,4,4.48,Penguin,Paperback,480,1994.0,1909.0,2016/07/20,2016/07/07,,,read,,,,1,0,Fiction,
67,The Known World,Edward P. Jones,"Jones, Edward P.",,61159174,9780061159176,0,3.84,Amistad,Paperback,388,2006.0,2003.0,,2016/07/15,to-read,to-read (#1),to-read,,,,0,0,Fiction,
71728,Jonathan Livingston Seagull,Richard Bach,"Bach, Richard",Russell Munson,743278909,9780743278904,5,3.86,Scribner,Paperback,112,2006.0,1970.0,2014/1/2,2016/07/07,,,read,,,,1,0,Fiction,
18053,Meet Mr. Mulliner,P.G. Wodehouse,"Wodehouse, P.G.",,1585672750,9781585672752,4,4.05,The Overlook Press,Hardcover,203,2002.0,1927.0,2013/5/6,2016/04/01,,,read,,,,1,0,Fiction,
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,316769177,9780316769174,4,3.8,Back Bay Books,Paperback,277,2001.0,1951.0,2013/5/5,2016/04/01,,,read,,,,1,0,Fiction,
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Joseph Frank, David McDuff",,,5,4.28,Penguin,Paperback,671,2002.0,1866.0,2013/8/8,2016/04/01,,,read,,,,1,0,Fiction,
13023,Alice in Wonderland,Jane Carruth,"Carruth, Jane","Lewis Carroll, Rene Cloke",517223627,9780517223628,4,4.03,Gramercy,Hardcover,96,2004.0,1865.0,2013/3/3,2016/04/01,,,read,,,,1,0,Fiction,
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,684830493,9780684830490,4,3.81,Scribner,Hardcover,96,1996.0,1952.0,2015/5/5,2016/04/01,,,read,,,,1,0,Fiction,
17470674,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,7491565,9780007491568,3,3.97,Harper Voyager,Hardcover,227,2013.0,1953.0,2016/10/3,2016/04/01,,,read,,,,1,0,Fiction,
